BR01動物園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BR02木柵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,25,25,20,20,20,20,20,25,25,30,30,35,35,40,40,40,40,35,35,35,25,20,20,20,20,20,R08/G10中正紀念堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,30,30,30,30,25,25,20,20,20,20,20,25,30,30,35,35,35,40,40,35,35,35,35,25,25,20,20,20,20,20,R09台大醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,30,30,30,25,25,25,20,20,20,20,20,25,25,30,30,35,35,35,40,35,35,35,30,25,25,20,20,20,20,20,20,R10/BL12台北車站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,30,30,30,25,25,25,20,20,20,20,20,25,30,30,30,35,35,35,35,35,35,35,25,25,25,20,20,20,20,20,20,R11/G14中山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,35,30,30,25,25,25,20,20,20,20,25,25,30,30,35,35,35,40,40,35,35,35,25,25,25,20,20,20,20,20,20,20,R12雙連,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,35,30,30,30,25,25,25,20,20,20,25,30,30,30,35,35,35,40,40,40,35,35,30,25,25,25,25,20,20,20,20,20,20,R13/O11民權西路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,35,35,30,30,30,25,25,25,20,25,25,30,30,35,35,35,40,40,40,40,40,35,30,30,25,25,25,25,20,20,20,20,20,20,R14圓山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,40,35,35,30,30,30,25,25,25,25,30,30,35,35,40,40,40,45,45,40,40,40,30,30,30,25,25,25,25,20,20,20,20,20,20,R15劍潭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,40,40,35,35,30,30,30,30,25,25,30,35,35,40,40,40,45,45,45,45,40,40,35,30,30,30,30,30,25,25,25,20,20,20,20,20,R16士林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,40,40,40,40,35,35,30,30,30,30,30,30,35,40,40,40,45,45,45,45,45,45,45,35,35,35,30,30,30,30,25,25,25,25,20,20,20,20,R17芝山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45,40,40,35,35,35,30,30,30,30,35,35,40,40,45,45,45,50,50,45,45,45,35,35,35,30,30,30,30,25,25,25,25,25,20,20,20,20,R18明德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,45,40,40,40,35,35,35,30,30,30,35,40,40,45,45,45,50,50,50,50,45,45,40,35,35,35,35,30,30,30,25,25,25,25,25,20,20,20,20,R19石牌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,45,45,45,45,40,40,35,35,35,30,35,35,40,45,45,45,50,50,50,50,50,50,45,40,40,35,35,35,35,30,30,30,30,30,25,25,20,20,20,20,20,R20唭哩岸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,45,45,45,40,40,40,35,35,35,35,40,40,45,45,50,50,50,55,55,50,50,50,40,40,40,35,35,35,35,30,30,30,30,30,25,25,20,20,20,20,20,R21奇岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,50,45,45,45,40,40,40,35,35,35,40,45,45,50,50,50,55,55,55,55,50,50,45,40,40,40,40,35,35,35,30,30,30,30,30,25,25,20,20,20,20,20,R22北投,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
